,Stage_sim,Stage_obs,Velocity_sim,Q_obs
2017-04-05 05:00:00,15.0,23.19909,0.0,199.4916
2017-04-05 06:00:00,6.057821,23.216616000000002,1.1010742,207.1116
2017-04-05 07:00:00,6.6569853,23.229570000000002,1.7416769,212.9028
2017-04-05 08:00:00,6.969149,23.242524,2.0733833,218.38920000000002
2017-04-05 09:00:00,7.0753484,23.263098,2.1851878,226.31400000000002
2017-04-05 10:00:00,7.0529747,23.281385999999998,2.1609573,233.40060000000003
2017-04-05 11:00:00,6.9043036,23.30196,2.00941,241.4016
2017-04-05 12:00:00,6.905034,23.324820000000003,2.0101602,250.5456
2017-04-05 13:00:00,6.915037,23.34006,2.0203638,256.64160000000004
2017-04-05 14:00:00,7.1252522,23.364444000000002,2.2358975,266.3952
2017-04-05 15:00:00,7.0894294,23.386542000000002,2.199321,275.0058
2017-04-05 16:00:00,7.051697,23.407878,2.1607172,283.1592
2017-04-05 17:00:00,7.0211487,23.426166000000002,2.1288536,290.1696
2017-04-05 18:00:00,7.0026045,23.445216000000002,2.1089249,297.71340000000004
2017-04-05 19:00:00,6.9782763,23.452835999999998,2.0829809,300.5328
2017-04-05 20:00:00,6.9464717,23.4696,2.048673,307.848
2017-04-05 21:00:00,6.9097424,23.474934000000005,2.008858,309.372
2017-04-05 22:00:00,6.8713813,23.482554000000004,1.9670235,312.42
2017-04-05 23:00:00,6.822368,23.486364000000002,1.9141569,313.944
2017-04-06 00:00:00,6.747297,23.480268,1.8355184,310.896
