evolving elements: 1602
evolving elements: 1629
evolving elements: 1588
evolving elements: 1624
evolving elements: 1662
evolving elements: 1619
evolving elements: 1624
evolving elements: 1631
evolving elements: 1729
evolving elements: 1656
evolving elements: 1555
evolving elements: 1638
evolving elements: 1617
evolving elements: 1673
evolving elements: 1636
evolving elements: 1646
evolving elements: 1345
evolving elements: 1702
evolving elements: 1660
evolving elements: 1571
evolving elements: 1547
evolving elements: 1621
evolving elements: 1565
evolving elements: 1597
evolving elements: 1616
evolving elements: 1485
Time = 2017-08-25 00:00:00, steps=0 (0s)
evolving elements: 1584
evolving elements: 1545
evolving elements: 1557
evolving elements: 1594
Time = 2017-08-25 00:02:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 00:04:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 00:06:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 00:08:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 00:10:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 00:12:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 00:14:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 00:16:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 00:18:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 00:20:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 00:22:00, delta t = 447.05137815, steps=1 (0s)
Time = 2017-08-25 00:24:00, delta t = 332.85172877, steps=1 (0s)
Time = 2017-08-25 00:26:00, delta t = 292.94869695, steps=1 (0s)
Time = 2017-08-25 00:28:00, delta t = 349.95359908, steps=1 (0s)
Time = 2017-08-25 00:30:00, delta t in [3.03898393, 217.95872639], steps=4 (0s)
Time = 2017-08-25 00:32:00, delta t = 139.30072862, steps=1 (0s)
Time = 2017-08-25 00:34:00, delta t = 312.71787993, steps=1 (0s)
Time = 2017-08-25 00:36:00, delta t = 172.29983478, steps=1 (0s)
Time = 2017-08-25 00:38:00, delta t = 211.68002798, steps=1 (0s)
Time = 2017-08-25 00:40:00, delta t in [3.05804910, 188.98514295], steps=4 (0s)
Time = 2017-08-25 00:42:00, delta t in [64.03763491, 237.22413868], steps=2 (0s)
Time = 2017-08-25 00:44:00, delta t = 228.61099768, steps=1 (0s)
Time = 2017-08-25 00:46:00, delta t = 267.22315300, steps=1 (0s)
Time = 2017-08-25 00:48:00, delta t = 240.31697801, steps=1 (0s)
Time = 2017-08-25 00:50:00, delta t = 290.82119992, steps=1 (0s)
Time = 2017-08-25 00:52:00, delta t in [5.90059771, 227.33237921], steps=2 (0s)
Time = 2017-08-25 00:54:00, delta t in [35.22434248, 209.09009281], steps=2 (0s)
Time = 2017-08-25 00:56:00, delta t in [85.73249888, 204.38789396], steps=2 (0s)
Time = 2017-08-25 00:58:00, delta t = 147.17258088, steps=1 (0s)
Time = 2017-08-25 01:00:00, delta t = 228.30184188, steps=1 (0s)
Time = 2017-08-25 01:02:00, delta t = 173.77825499, steps=1 (0s)
Time = 2017-08-25 01:04:00, delta t = 253.16861463, steps=1 (0s)
Time = 2017-08-25 01:06:00, delta t = 197.47889181, steps=1 (0s)
Time = 2017-08-25 01:08:00, delta t = 276.98796924, steps=1 (0s)
Time = 2017-08-25 01:10:00, delta t = 220.02293750, steps=1 (0s)
Time = 2017-08-25 01:12:00, delta t = 299.85719075, steps=1 (0s)
Time = 2017-08-25 01:14:00, delta t = 241.98507430, steps=1 (0s)
Time = 2017-08-25 01:16:00, delta t = 322.05891799, steps=1 (0s)
Time = 2017-08-25 01:18:00, delta t = 263.54601597, steps=1 (0s)
Time = 2017-08-25 01:20:00, delta t = 343.77393257, steps=1 (0s)
